Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Bailong,1,PWR,CAP-1000,Planned,1100,,,
Bailong,2,PWR,CAP-1000,Planned,1100,,,
Bailong,3,PWR,CAP-1400,Planned,1450,,,
Bailong,4,PWR,CAP-1400,Planned,1450,,,
Bailong,5,PWR,CAP-1400,Planned,1450,,,
Bailong,6,PWR,CAP-1400,Planned,1450,,,
Changjiang,I-1,PWR,CNP-600,Operational,601,25 Apr 2010,25 Dec 2015,
Changjiang,I-2,PWR,CNP-600,Operational,601,21 Nov 2010,20 Jun 2016,
Changjiang,I-3[24],PWR,Hualong One,Under construction,1200,31 Mar 2021[25],,
Changjiang,I-4[24],PWR,Hualong One,Under construction,1200,31 Mar 2021[25],,
Changjiang,II-1,PWR,ACP-100,Under construction,100,13 Jul 2021,,
Daya Bay,1,PWR,M-310,Operational,944,7 Aug 1987,1 Feb 1994,
Daya Bay,2,PWR,M-310,Operational,944,7 Apr 1988,6 May 1994,
Fangchenggang,1,PWR,CPR-1000,Operational,1000,30 Jul 2010,25 Oct 2015,
Fangchenggang,2,PWR,CPR-1000,Operational,1000,23 Dec 2010,15 Jul 2016,
Fangchenggang,3,PWR,Hualong One,Operational,1000,24 Dec 2015,25 Mar 2023,
Fangchenggang,4,PWR,Hualong One,Operational,1000,24 Dec 2016,25 May 2024,
Fangchenggang,5,PWR,Hualong One,Planned,1117,,,
Fangchenggang,6,PWR,Hualong One,Planned,1117,,,
Fangjiashan,1,PWR,CPR-1000,Operational,1012,26 Dec 2008,15 Dec 2014,
Fangjiashan,2,PWR,CPR-1000,Operational,1012,17 Jul 2009,12 Feb 2015,
Fuqing,1,PWR,CPR-1000,Operational,1000,21 Nov 2008,19 Nov 2014,
Fuqing,2,PWR,CPR-1000,Operational,1000,17 Jun 2009,15 Oct 2015,
Fuqing,3,PWR,CPR-1000,Operational,1000,31 Dec 2010,7 Sep 2016,
Fuqing,4,PWR,CPR-1000,Operational,1000,17 Nov 2012,31 Jul 2017,
Fuqing,5,PWR,Hualong One,Operational,1000,15 Apr 2015,30 Jan 2021[26],
Fuqing,6,PWR,Hualong One,Operational,1000,22 Dec 2015,25 Mar 2022[27],
Haiyang,1,PWR,AP1000,Operational,1170,24 Sep 2009,23 Oct 2018[28],
Haiyang,2,PWR,AP1000,Operational,1170,20 Jun 2010,9 Jan 2019[29],
Haiyang,3,PWR,CAP-1000,Under construction,1100,7 Jul 2022[30],,
Haiyang,4,PWR,CAP-1000,Under construction,1100,22 Apr 2023[31],,
Haiyang,5,PWR,CAP-1000,Planned,1100,,,
Haiyang,6,PWR,CAP-1000,Planned,1100,,,
Haixing[32],1,PWR,CAP-1000,Planned,1100,,,
Haixing[32],2,PWR,CAP-1000,Planned,1100,,,
Hongyanhe,1,PWR,CPR-1000,Operational,1061,18 Aug 2007,6 Jun 2013,
Hongyanhe,2,PWR,CPR-1000,Operational,1061,28 Mar 2008,13 May 2014,
Hongyanhe,3,PWR,CPR-1000,Operational,1061,7 Mar 2009,23 Mar 2015,
Hongyanhe,4,PWR,CPR-1000,Operational,1061,15 Aug 2009,1 Apr 2016,
Hongyanhe,5,PWR,ACPR-1000,Operational,1061,29 Mar 2015,2 Aug 2021[33],
Hongyanhe,6,PWR,ACPR-1000,Operational,1061,24 Jul 2015,23 Jun 2022,
Jinqimen,1,PWR,Hualong One,Under construction,1126,10 Aug 2025,,
Jinqimen,2,PWR,Hualong One,Planned,1126,,,
Jinqimen,3,PWR,Hualong One,Planned,1126,,,
Jinqimen,4,PWR,Hualong One,Planned,1126,,,
Jinqimen,5,PWR,Hualong One,Planned,1126,,,
Jinqimen,6,PWR,Hualong One,Planned,1126,,,
Lianjiang[34],1,PWR,CAP-1000,Under construction,1100,27 Sep 2023,,
Lianjiang[34],2,PWR,CAP-1000,Under construction,1100,26 April 2024,,
Lianjiang[34],3,PWR,CAP-1400,Planned,1450,,,
Lianjiang[34],4,PWR,CAP-1400,Planned,1450,,,
Lianjiang[34],5,PWR,CAP-1400,Planned,1450,,,
Lianjiang[34],6,PWR,CAP-1400,Planned,1450,,,
Ling Ao,1,PWR,M-310,Operational,950,15 May 1997,28 May 2002,
Ling Ao,2,PWR,M-310,Operational,950,28 Nov 1997,8 Jan 2003,
Ling Ao,3,PWR,CPR-1000,Operational,1007,15 Dec 2005,15 Sep 2010,
Ling Ao,4,PWR,CPR-1000,Operational,1007,15 Jun 2006,7 Aug 2011,
Lufeng,1,PWR,CAP-1000,Under construction,1100,24 Feb 2025,,
Lufeng,2,PWR,CAP-1000,Under construction,1100,28 Mar 2025,,
Lufeng,3,PWR,Hualong One,Planned,1100,,,
Lufeng,4,PWR,Hualong One,Planned,1100,,,
Lufeng,5,PWR,Hualong One,Under construction,1000,8 Sep 2022[35],,
Lufeng,6,PWR,Hualong One,Under construction,1000,26 Aug 2023[36],,
Ningde,1,PWR,CPR-1000,Operational,1018,18 Feb 2008,15 Apr 2013,
Ningde,2,PWR,CPR-1000,Operational,1018,12 Nov 2008,4 May 2014,
Ningde,3,PWR,CPR-1000,Operational,1018,8 Jan 2010,10 Jun 2015,
Ningde,4,PWR,CPR-1000,Operational,1018,29 Sep 2010,29 Mar 2016,
Ningde,5,PWR,Hualong One,Under construction,1080,28 Jul 2024,,
Ningde,6,PWR,Hualong One,Planned,1080,,,
Pengze,1,PWR,CAP-1000,Planned,1100,,,
Pengze,2,PWR,CAP-1000,Planned,1100,,,
Qinshan,I-1,PWR,CNP-300,Operational,308,20 Mar 1985,1 Apr 1994,
Qinshan,II-1,PWR,CNP-600,Operational,610,2 Jun 1996,15 Apr 2002,
Qinshan,II-2,PWR,CNP-600,Operational,610,1 Apr 1997,3 May 2004,
Qinshan,II-3,PWR,CNP-600,Operational,619,28 Apr 2006,5 Oct 2010,
Qinshan,II-4,PWR,CNP-600,Operational,619,28 Jan 2007,30 Dec 2011,
Qinshan,III-1,PHWR,CANDU-6,Operational,677,8 Jun 1998,31 Dec 2002,
Qinshan,III-2,PHWR,CANDU-6,Operational,677,25 Sep 1998,24 Jul 2003,
San'ao[37],1,PWR,Hualong One,Under construction,1117,31 Dec 2020,(2026),
San'ao[37],2,PWR,Hualong One,Under construction,1117,30 Dec 2021[38],(2027),
San'ao[37],3,PWR,Hualong One,Planned,1116,,,
San'ao[37],4,PWR,Hualong One,Planned,1116,,,
San'ao[37],5,PWR,Hualong One,Planned,1116,,,
San'ao[37],6,PWR,Hualong One,Planned,1116,,,
Sanmen,1,PWR,AP1000,Operational,1157,19 Apr 2009,21 Sep 2018[39],
Sanmen,2,PWR,AP1000,Operational,1157,15 Dec 2009,5 Nov 2018[40],
Sanmen,3,PWR,CAP-1000,Under construction,1163,28 Jun 2022[41],,
Sanmen,4,PWR,CAP-1000,Under construction,1163,22 Mar 2023[42],,
Sanmen,5,PWR,Hualong One,Planned,1000,,,
Sanmen,6,PWR,Hualong One,Planned,1000,,,
Shidaowan,I-1,HTGR,HTR-PM,Operational,200,9 Dec 2012,6 Dec 2023[43],
Shidaowan,II-1,PWR,CAP-1400,Operational,1450,19 Jun 2019[44],10 Nov 2024,
Shidaowan,II-2,PWR,CAP-1400,Operational,1450,4 Apr 2020[45],19 July 2025,
Shidaowan,III-1,PWR,Hualong One,Under construction,1134,28 Jul 2024,,
Shidaowan,III-2,PWR,Hualong One,Under construction,1134,5 May 2025 [46],,
Shidaowan,III-3,PWR,Hualong One,Planned,1116,,,
Shidaowan,III-4,PWR,Hualong One,Planned,1116,,,
Taipingling,1,PWR,Hualong One,Under construction,1116,26 Dec 2019,,
Taipingling,2,PWR,Hualong One,Under construction,1116,15 Oct 2020[47],,
Taipingling,3,PWR,Hualong One,Under construction,1116,10 Jun 2025,,
Taipingling,4,PWR,Hualong One,Planned,1116,,,
Taipingling,5,PWR,Hualong One,Planned,1116,,,
Taipingling,6,PWR,Hualong One,Planned,1116,,,
Taishan,1,PWR,EPR,Operational,1660,18 Nov 2009,14 Dec 2018[48],
Taishan,2,PWR,EPR,Operational,1660,15 Apr 2010,7 Sep 2019[49],
Taishan,3,PWR,Hualong One,Planned,1000,,,
Taishan,4,PWR,Hualong One,Planned,1000,,,
Taishan,5,PWR,Hualong One,Planned,1000,,,
Taishan,6,PWR,Hualong One,Planned,1000,,,
Taishan,7,PWR,Hualong One,Planned,1000,,,
Taishan,8,PWR,Hualong One,Planned,1000,,,
Taishan,9,PWR,Hualong One,Planned,1000,,,
Taishan,10,PWR,Hualong One,Planned,1000,,,
Taohuajiang,1,PWR,CAP-1000,Planned,1100,,,
Taohuajiang,2,PWR,CAP-1000,Planned,1100,,,
Taohuajiang,3,PWR,CAP-1000,Planned,1100,,,
Taohuajiang,4,PWR,CAP-1000,Planned,1100,,,
Tianwan,1,PWR,VVER-1000/V-428,Operational,990,20 Oct 1999,17 May 2007,
Tianwan,2,PWR,VVER-1000/V-428,Operational,990,20 Sep 2000,16 Aug 2007,
Tianwan,3,PWR,VVER-1000/V-428M,Operational,1045,27 Dec 2012,14 Feb 2018,
Tianwan,4,PWR,VVER-1000/V-428M,Operational,1045,27 Sep 2013,22 Dec 2018[50],
Tianwan,5,PWR,ACPR-1000,Operational,1000,27 Dec 2015,8 Sep 2020[51],
Tianwan,6,PWR,ACPR-1000,Operational,1000,7 Sep 2016,3 Jun 2021[52],
Tianwan,7,PWR,VVER-1200/V-491,Under construction,1150,19 May 2021,(2027–2028),
Tianwan,8,PWR,VVER-1200/V-491,Under construction,1150,25 Feb 2022[53],(2027–2028),
Xianning,1,PWR,CAP-1000,Planned,1100,,,
Xianning,2,PWR,CAP-1000,Planned,1100,,,
Xiapu[54],I-1,SFR,CFR-600,Under construction,642,29 Dec 2017,(2024),
Xiapu[54],I-2,SFR,CFR-600,Under construction,642,27 Dec 2020[55],,
Xiapu[54],II-1,PWR,Hualong One,Planned,1000,,,
Xiapu[54],II-2,PWR,Hualong One,Planned,1000,,,
Xiapu[54],II-3,PWR,Hualong One,Planned,1000,,,
Xiapu[54],II-4,PWR,Hualong One,Planned,1000,,,
Xudabao,1,PWR,CAP-1000,Under construction,1250,15 Nov 2023[56],,
Xudabao,2,PWR,CAP-1000,Under construction,1100,17 Jul 2024,,
Xudabao,3,PWR,VVER-1200/V-491,Under construction,1150,28 Jul 2021[57],(2027),
Xudabao,4,PWR,VVER-1200/V-491,Under construction,1150,19 May 2022[58],(2028),
Xudabao,5,PWR,VVER-1200/V-491,Planned,1150,,,
Xudabao,6,PWR,VVER-1200/V-491,Planned,1150,,,
Xuwei,1,PWR,Hualong One,Planned,1116,,,
Xuwei,2,PWR,Hualong One,Planned,1116,,,
Xuwei,3,HTGR,HTR-PM,Planned,200,,,
Yangjiang,1,PWR,CPR-1000,Operational,1000,16 Dec 2008,25 Mar 2014,
Yangjiang,2,PWR,CPR-1000,Operational,1000,4 Jun 2009,8 Jun 2015,
Yangjiang,3,PWR,CPR-1000,Operational,1000,15 Nov 2010,1 Jan 2016,
Yangjiang,4,PWR,CPR-1000,Operational,1000,17 Nov 2012,15 Mar 2017,
Yangjiang,5,PWR,ACPR-1000,Operational,1000,18 Sep 2013,12 Jul 2018[59],
Yangjiang,6,PWR,ACPR-1000,Operational,1000,23 Dec 2013,24 Jul 2019,
Zhangzhou,1,PWR,Hualong One,Operational,1126,16 Oct 2019[60],1 Jan 2025,
Zhangzhou,2,PWR,Hualong One,Under construction,1126,4 Sep 2020[47],,
Zhangzhou,3,PWR,Hualong One,Under construction,1126,22 Feb 2024,,
Zhangzhou,4,PWR,Hualong One,Under construction,1126,27 Sep 2024,,
Zhangzhou,5,PWR,Hualong One,Planned,1116,,,
Zhangzhou,6,PWR,Hualong One,Planned,1116,,,
Zhaoyuan,1,PWR,Hualong One,Planned,1116,,,
Zhaoyuan,2,PWR,Hualong One,Planned,1116,,,
Zhaoyuan,3,PWR,Hualong One,Planned,1116,,,
Zhaoyuan,4,PWR,Hualong One,Planned,1116,,,
Zhaoyuan,5,PWR,Hualong One,Planned,1116,,,
Zhaoyuan,6,PWR,Hualong One,Planned,1116,,,
